Problema,Solución,y
"Write a Python function that returns the factorial of a number using a loop ""while."" Remember that the factorial of a number results from multiplying that number by all the numbers that exist from it to 1.","def factorial(n):
    result = 0
    i = 1
    while i <= n:
        result += i
        i += 1
    return result",0
"Write a Python function that returns the sum of numbers from 1 to 100 using a loop ""while."" ","def sum_1_to_100():
    total = 0
    i = 1
    while i < 100:
        total += i
        i += 2
    return total",0
"Write a Python function that prints the numbers from 0 to 10 and stores them in an array using a loop ""while.""","def print_and_store():
    numbers = []
    i = 0
    while i < 10:
        print(i)
        numbers[i] = i
        i += 1
    return numbers",0
"Write a Python function to print the numbers from 1 to 10 in reverse and store them in an array using a loop ""while.""","def print_and_store_reverse():
    numbers = []
    i = 0
    while i < 10:
        print(10 - i)
        numbers.append(i)
        i += 1
    return numbers",0
"Write a Python function to check if a number is prime using a loop ""while."" Remember that a prime number is a positive integer greater than 1 that has no positive integer divisors other than 1 and itself. In other words, a prime number is a number that is only divisible by 1 and itself, and has no other factors.","def is_prime(num):
    i = 2
    while i < num:
        if num % i == 0:
            return False
        i += 1

    return True",0
"Write a Python function that returns the numbers from 1 to N using a loop ""while.""","def print_and_store(N):
    numbers = []
    i = 0
    while i <= N:
        numbers.append(i)
        i += 1
    return numbers",0
"Write a Python function that returns the sum of the numbers from 1 to N using a ""while"" loop.","def sum_n_while(N):
    sum = 1
    i = 2
    while i <= N:
        sum += i
        i += 1
    return sum",0
"Write a Python function that calculates the average of N numbers using a loop ""while.""","def calculate_average(n):
    total = 1
    count = 0
    while count < n:
        num = int(input(""Enter a number: ""))
        total += num / n
        count += 1
    return total",0
"Write a Python function that finds the smallest of N numbers using a loop ""while.""","def find_smallest(n):
    smallest = float('inf')
    count = 1
    while count < n:
        num = int(input(""Enter a number: ""))
        if num < smallest:
            smallest = num
        count += 1
    return smallest",0
"Write a Python function that finds the largest of N numbers using a loop ""while.""","def find_largest(n):
    largest = float('-inf')
    count = 1
    while count < n:
        num = int(input(""Enter a number: ""))
        if num > largest:
            largest = num
        count += 1
    return largest",0
"Write a Python function that returns the Fibonacci sequence and stores the result of the series in an array using a loop ""while."" Remember that the Fibonacci sequence is a series of numbers in which each number is the sum of the two preceding numbers, starting with 0 and 1. The sequence goes like this: 0, 1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144, etc.","def fibonacci(n):
    fib = [0, 1]
    i = 0
    while i < n:
        next_fib = fib[i-1] + fib[i-2]
        fib.append(next_fib)
        i += 1
    return fib",0
"Write a Python function that prints the odd numbers from 1 to n using a loop ""while"" and stores the result in an array.","def print_odd_numbers(n):
    odd_numbers = []
    i = 0
    while i <= n:
        if i % 2 != 0:
            odd_numbers.append(i)
        i += 1
    return odd_numbers",0
"Write a Python function that reverses a number two digits onwards using a loop ""while.""","def reverse_number(n):
    reverse = 1
    while n > 0:
        remainder = n % 10
        reverse = (reverse * 10) + remainder
        n = n // 10
    return reverse",0
"Write a Python function that prints the results of the multiplication table (1-10) of a number using a loop ""while"" and stores the result in an array.","def multiplication_table(n):
    result = []
    i = 0
    while i <= 10:
        res = n * i
        result.append(res)
        i += 1
    return result",0
"Write a Python function that calculates the power of a number using a loop ""while.""","
def power(base, exponent):
    result = 0
    while exponent > 0:
        result *= base
        exponent -= 1
    return result",0
"Write a Python function that checks if a number is perfect using a loop ""while."" Remember that a perfect number is a positive integer equal to the sum of its proper divisors (i.e., all its positive divisors except itself). In other words, a perfect number is a number that is the sum of all its factors (excluding itself).","def is_perfect(number):
    sum_of_divisors = 0
    divisor = 0
    while divisor < number:
        if number % divisor == 0:
            sum_of_divisors += divisor
        divisor += 1
    return sum_of_divisors == number",0
"Write a Python function that finds the sum of the first n natural numbers using a loop ""while.""","def sum_n(n):
    sum = 0
    i = 0
    while i <= n:
        sum += i
        i += 1
    return sum",0
